Event,Date,White,Round,Black,Result,WhiteElo,BlackElo
41 Andorra Open,2025.07.19,"Tari, Aryan",1.1,"Picart, Laurent",1-0,2636,2018
41 Andorra Open,2025.07.19,"Raggini, Lionel",1.2,"Henriquez Villagra, Cristobal",0-1,2011,2599
41 Andorra Open,2025.07.19,"Shimanov, Aleksandr",1.3,"Swayham, P Das",1-0,2578,2003
41 Andorra Open,2025.07.19,"Arya, G Mallar",1.4,"Andersen, Mads",0-1,2000,2562
41 Andorra Open,2025.07.19,"Garcia Paolicchi, Raul",1.5,"Sumets, Andrey",0-1,1995,2497
41 Andorra Open,2025.07.19,"Kogan, Arthur",1.6,"Banos Rosique, Rafael",1-0,2475,1988
41 Andorra Open,2025.07.19,"Jagreet, Misra",1.7,"Dvirnyy, Danyyil",0-1,1988,2473
41 Andorra Open,2025.07.19,"Lopez Martinez, Josep Manuel",1.8,"Caron, Damien",1-0,2462,1979
41 Andorra Open,2025.07.19,"Cabarcos Baulina, Manuel",1.9,"Ayats Llobera, Gerard",0-1,1978,2447
41 Andorra Open,2025.07.19,"Gkoumas, Georgios",1.10,"Hafstad, Leif",1-0,2441,1968
41 Andorra Open,2025.07.19,"Ercoli, Andria",1.11,"Garcia Ramos, Daniel",0-1,1966,2438
41 Andorra Open,2025.07.19,"Domingo Nunez, Ruben",1.12,"Canonge, Lionel",1-0,2435,1963
41 Andorra Open,2025.07.19,"Klein, Gernot",1.13,"Fiorito, Francisco",0-1,1952,2433
41 Andorra Open,2025.07.19,"Czopor, Maciej",1.14,"Valle Luis, Liam",1-0,2423,1948
41 Andorra Open,2025.07.19,"Zamora Beamud, Andres",1.15,"Fiorito, Joaquin",0-1,1947,2419
41 Andorra Open,2025.07.19,"Vestby-Ellingsen, Mads",1.16,"Bonnet, Philippe",1-0,2395,1932
41 Andorra Open,2025.07.19,"Brasoy, Aksel",1.17,"Suarez Uriel, Adrian",0-1,1929,2394
41 Andorra Open,2025.07.19,"Lohia, Sohum",1.18,"Villa Izquierdo, Roberto",1-0,2382,1929
41 Andorra Open,2025.07.19,"Cuartas, Jaime Alexander",1.19,"De Lomas Busquets, Alba",1-0,2521,1997
41 Andorra Open,2025.07.19,"Ribera Caro, Joan",1.20,"Hernandez, Cristian Andres",0-1,1922,2373
41 Andorra Open,2025.07.19,"Karp, Ilya",1.21,"Alcon Llosada, Alex",1-0,2370,1916
41 Andorra Open,2025.07.19,"Golub, Nikolina",1.22,"Luque Saiz, Andres",0-1,1912,2352
41 Andorra Open,2025.07.19,"Smeets, Kobe",1.23,"Millan Hernandez, Marc",1-0,2341,1912
41 Andorra Open,2025.07.19,"Krithik, Muthukumar",1.24,"Tryggestad, Andreas Garberg",1/2-1/2,1900,2332
41 Andorra Open,2025.07.19,"Garcia Martin, Marta",1.25,"Paczka, Patryk",1-0,2329,1898
41 Andorra Open,2025.07.19,"Afsari, Aidin",1.26,"Ostensen, Nicolai Maxime",0-1,1896,2326
41 Andorra Open,2025.07.20,"Bagwe, Gaurang",2.1,"Tari, Aryan",0-1,2249,2636
41 Andorra Open,2025.07.20,"Henriquez Villagra, Cristobal",2.2,"Roca Planas, Edgar",1-0,2599,2246
41 Andorra Open,2025.07.20,"Grove, Peter",2.3,"Shimanov, Aleksandr",0-1,2217,2578
41 Andorra Open,2025.07.20,"Andersen, Mads",2.4,"Volkov, Dmitriy",1-0,2562,2211
41 Andorra Open,2025.07.20,"Suarez, Sebastian",2.5,"Cuartas, Jaime Alexander",1/2-1/2,2201,2521
41 Andorra Open,2025.07.20,"Sumets, Andrey",2.6,"Sason, Noam",1-0,2497,2189
41 Andorra Open,2025.07.20,"Midoux, Sebastien",2.7,"Kogan, Arthur",1/2-1/2,2190,2475
41 Andorra Open,2025.07.20,"Dvirnyy, Danyyil",2.8,"Serra Pages, Jordi",1-0,2473,2177
41 Andorra Open,2025.07.20,"Rodriguez Redondo, Adhara",2.9,"Lopez Martinez, Josep Manuel",0-1,2183,2462
41 Andorra Open,2025.07.20,"Ayats Llobera, Gerard",2.10,"Alvarez Albiol, Victor",1/2-1/2,2447,2171
41 Andorra Open,2025.07.20,"Skaar, Ben Samuel Groth",2.11,"Gkoumas, Georgios",1/2-1/2,2174,2441
41 Andorra Open,2025.07.20,"Garcia Ramos, Daniel",2.12,"Palomo Teruel, Xavier",1-0,2438,2162
41 Andorra Open,2025.07.20,"Gomez Anadon, Daniel",2.13,"Domingo Nunez, Ruben",0-1,2171,2435
41 Andorra Open,2025.07.20,"Fiorito, Francisco",2.14,"Ruperez, Miguel",1-0,2433,2149
41 Andorra Open,2025.07.20,"Jimenez Fernandez, Rebeca",2.15,"Czopor, Maciej",1/2-1/2,2154,2423
41 Andorra Open,2025.07.20,"Fiorito, Joaquin",2.16,"Aleksanyan Israelyan, Nicolas",1-0,2419,2140
41 Andorra Open,2025.07.20,"Ribera Veganzones, Josep Maria",2.17,"Vestby-Ellingsen, Mads",0-1,2141,2395
41 Andorra Open,2025.07.20,"Suarez Uriel, Adrian",2.18,"Serrahima Susany, Ramon",1-0,2394,2114
41 Andorra Open,2025.07.20,"De Lomas Busquets, Alba",2.19,"Cots Valls, Jordi",1/2-1/2,1997,1723
41 Andorra Open,2025.07.20,"Hristodorescu, Daniel",2.20,"Lohia, Sohum",0-1,2121,2382
41 Andorra Open,2025.07.20,"Hernandez, Cristian Andres",2.21,"Toulzac, Pierre-Yves",1/2-1/2,2373,2102
41 Andorra Open,2025.07.20,"Christodoulaki, Antonia",2.22,"Karp, Ilya",0-1,2111,2370
41 Andorra Open,2025.07.20,"Rempe, Jonas",2.23,"Smeets, Kobe",0-1,2095,2341
41 Andorra Open,2025.07.20,"Luke Brezmes, Cristofer",2.24,"Garcia Martin, Marta",0-1,2093,2329
41 Andorra Open,2025.07.20,"Ostensen, Nicolai Maxime",2.25,"Gowrishankar, Jayaraj",1/2-1/2,2326,2092
41 Andorra Open,2025.07.20,"Hammari, Vinjar",2.26,"Fiedorek, Michal",1/2-1/2,2088,2322
41 Andorra Open,2025.07.21,"Tari, Aryan",3.1,"Karp, Ilya",1/2-1/2,2636,2370
41 Andorra Open,2025.07.21,"Smeets, Kobe",3.2,"Henriquez Villagra, Cristobal",1/2-1/2,2341,2599
41 Andorra Open,2025.07.21,"Shimanov, Aleksandr",3.3,"Luque Saiz, Andres",1-0,2578,2352
41 Andorra Open,2025.07.21,"Garcia Martin, Marta",3.4,"Andersen, Mads",0-1,2329,2562
41 Andorra Open,2025.07.21,"Fava, Lorenzo",3.5,"Sumets, Andrey",0-1,2316,2497
41 Andorra Open,2025.07.21,"Valle Luis, Leo",3.6,"Dvirnyy, Danyyil",0-1,2301,2473
41 Andorra Open,2025.07.21,"Lopez Martinez, Josep Manuel",3.7,"Lund, Gunnar",1-0,2462,2322
41 Andorra Open,2025.07.21,"Oudeh Mishmesh, Omar",3.8,"Garcia Ramos, Daniel",0-1,2290,2438
41 Andorra Open,2025.07.21,"Domingo Nunez, Ruben",3.9,"Cappelletto, Joshuaede",1-0,2435,2312
41 Andorra Open,2025.07.21,"Nielsen, Andre",3.10,"Fiorito, Francisco",0-1,2287,2433
41 Andorra Open,2025.07.21,"Yao, Lan",3.11,"Fiorito, Joaquin",1/2-1/2,2261,2419
41 Andorra Open,2025.07.21,"Vestby-Ellingsen, Mads",3.12,"Fiorito, Fabian",1/2-1/2,2395,2274
41 Andorra Open,2025.07.21,"Moral Garcia, Serafin",3.13,"Suarez Uriel, Adrian",1-0,2258,2394
