Event,Date,Round,Player,Color,Points,PlayerElo,Opponent,OpponentElo
41 Andorra Open,2025.07.19,1.1,"Tari, Aryan",White,1.0,2636,"Picart, Laurent",2018
41 Andorra Open,2025.07.19,1.1,"Picart, Laurent",Black,0.0,2018,"Tari, Aryan",2636
41 Andorra Open,2025.07.19,1.2,"Raggini, Lionel",White,0.0,2011,"Henriquez Villagra, Cristobal",2599
41 Andorra Open,2025.07.19,1.2,"Henriquez Villagra, Cristobal",Black,1.0,2599,"Raggini, Lionel",2011
41 Andorra Open,2025.07.19,1.3,"Shimanov, Aleksandr",White,1.0,2578,"Swayham, P Das",2003
41 Andorra Open,2025.07.19,1.3,"Swayham, P Das",Black,0.0,2003,"Shimanov, Aleksandr",2578
41 Andorra Open,2025.07.19,1.4,"Arya, G Mallar",White,0.0,2000,"Andersen, Mads",2562
41 Andorra Open,2025.07.19,1.4,"Andersen, Mads",Black,1.0,2562,"Arya, G Mallar",2000
41 Andorra Open,2025.07.19,1.5,"Garcia Paolicchi, Raul",White,0.0,1995,"Sumets, Andrey",2497
41 Andorra Open,2025.07.19,1.5,"Sumets, Andrey",Black,1.0,2497,"Garcia Paolicchi, Raul",1995
41 Andorra Open,2025.07.19,1.6,"Kogan, Arthur",White,1.0,2475,"Banos Rosique, Rafael",1988
41 Andorra Open,2025.07.19,1.6,"Banos Rosique, Rafael",Black,0.0,1988,"Kogan, Arthur",2475
41 Andorra Open,2025.07.19,1.7,"Jagreet, Misra",White,0.0,1988,"Dvirnyy, Danyyil",2473
41 Andorra Open,2025.07.19,1.7,"Dvirnyy, Danyyil",Black,1.0,2473,"Jagreet, Misra",1988
41 Andorra Open,2025.07.19,1.8,"Lopez Martinez, Josep Manuel",White,1.0,2462,"Caron, Damien",1979
41 Andorra Open,2025.07.19,1.8,"Caron, Damien",Black,0.0,1979,"Lopez Martinez, Josep Manuel",2462
41 Andorra Open,2025.07.19,1.9,"Cabarcos Baulina, Manuel",White,0.0,1978,"Ayats Llobera, Gerard",2447
41 Andorra Open,2025.07.19,1.9,"Ayats Llobera, Gerard",Black,1.0,2447,"Cabarcos Baulina, Manuel",1978
41 Andorra Open,2025.07.19,1.10,"Gkoumas, Georgios",White,1.0,2441,"Hafstad, Leif",1968
41 Andorra Open,2025.07.19,1.10,"Hafstad, Leif",Black,0.0,1968,"Gkoumas, Georgios",2441
41 Andorra Open,2025.07.19,1.11,"Ercoli, Andria",White,0.0,1966,"Garcia Ramos, Daniel",2438
41 Andorra Open,2025.07.19,1.11,"Garcia Ramos, Daniel",Black,1.0,2438,"Ercoli, Andria",1966
41 Andorra Open,2025.07.19,1.12,"Domingo Nunez, Ruben",White,1.0,2435,"Canonge, Lionel",1963
41 Andorra Open,2025.07.19,1.12,"Canonge, Lionel",Black,0.0,1963,"Domingo Nunez, Ruben",2435
41 Andorra Open,2025.07.19,1.13,"Klein, Gernot",White,0.0,1952,"Fiorito, Francisco",2433
41 Andorra Open,2025.07.19,1.13,"Fiorito, Francisco",Black,1.0,2433,"Klein, Gernot",1952
41 Andorra Open,2025.07.19,1.14,"Czopor, Maciej",White,1.0,2423,"Valle Luis, Liam",1948
41 Andorra Open,2025.07.19,1.14,"Valle Luis, Liam",Black,0.0,1948,"Czopor, Maciej",2423
41 Andorra Open,2025.07.19,1.15,"Zamora Beamud, Andres",White,0.0,1947,"Fiorito, Joaquin",2419
41 Andorra Open,2025.07.19,1.15,"Fiorito, Joaquin",Black,1.0,2419,"Zamora Beamud, Andres",1947
41 Andorra Open,2025.07.19,1.16,"Vestby-Ellingsen, Mads",White,1.0,2395,"Bonnet, Philippe",1932
41 Andorra Open,2025.07.19,1.16,"Bonnet, Philippe",Black,0.0,1932,"Vestby-Ellingsen, Mads",2395
41 Andorra Open,2025.07.19,1.17,"Brasoy, Aksel",White,0.0,1929,"Suarez Uriel, Adrian",2394
41 Andorra Open,2025.07.19,1.17,"Suarez Uriel, Adrian",Black,1.0,2394,"Brasoy, Aksel",1929
41 Andorra Open,2025.07.19,1.18,"Lohia, Sohum",White,1.0,2382,"Villa Izquierdo, Roberto",1929
41 Andorra Open,2025.07.19,1.18,"Villa Izquierdo, Roberto",Black,0.0,1929,"Lohia, Sohum",2382
41 Andorra Open,2025.07.19,1.19,"Cuartas, Jaime Alexander",White,1.0,2521,"De Lomas Busquets, Alba",1997
41 Andorra Open,2025.07.19,1.19,"De Lomas Busquets, Alba",Black,0.0,1997,"Cuartas, Jaime Alexander",2521
41 Andorra Open,2025.07.19,1.20,"Ribera Caro, Joan",White,0.0,1922,"Hernandez, Cristian Andres",2373
41 Andorra Open,2025.07.19,1.20,"Hernandez, Cristian Andres",Black,1.0,2373,"Ribera Caro, Joan",1922
41 Andorra Open,2025.07.19,1.21,"Karp, Ilya",White,1.0,2370,"Alcon Llosada, Alex",1916
41 Andorra Open,2025.07.19,1.21,"Alcon Llosada, Alex",Black,0.0,1916,"Karp, Ilya",2370
41 Andorra Open,2025.07.19,1.22,"Golub, Nikolina",White,0.0,1912,"Luque Saiz, Andres",2352
41 Andorra Open,2025.07.19,1.22,"Luque Saiz, Andres",Black,1.0,2352,"Golub, Nikolina",1912
