Player,PlayerElo,TotalPoints,RoundsPlayed,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
"Afsari, Aidin",1896,0.0,1,2326.0,,,,,,,,
"Aiglon, Nicolas",1844,0.0,1,,,,,1997.0,,,,
"Alcon Llosada, Alex",1916,0.0,1,2370.0,,,,,,,,
"Aleksanyan Israelyan, Nicolas",2140,0.0,2,,2419.0,,,,2394.0,,,
"Aleksanyan Israilyan, Nicolas",2140,0.0,1,,,,2322.0,,,,,
"Alvarez Albiol, Victor",2171,2.5,6,,2447.0,2373.0,2394.0,,,2332.0,2300.0,2370.0
"Andersen, Mads",2562,6.5,9,2000.0,2211.0,2329.0,2435.0,2423.0,2287.0,2578.0,2462.0,2636.0
"Arya, G Mallar",2000,0.5,2,2562.0,,,,,,,,2316.0
"Ayats Llobera, Gerard",2447,5.0,8,1978.0,2171.0,2201.0,,2190.0,2312.0,2290.0,2261.0,2206.0
"Bagwe, Gaurang",2249,2.0,5,,2636.0,,2038.0,2521.0,2395.0,2341.0,,
"Ballo Serrano, Jan",2027,1.0,2,,,,2246.0,2287.0,,,,
"Banos Rosique, Rafael",1988,0.0,1,2475.0,,,,,,,,
"Bonnet, Philippe",1932,0.0,1,2395.0,,,,,,,,
"Brasoy, Aksel",1929,0.0,1,2394.0,,,,,,,,
"Bruaset, Eivind",2223,1.5,3,,,,,2373.0,2433.0,,1997.0,
"Cabarcos Baulina, Manuel",1978,0.0,1,2447.0,,,,,,,,
"Canonge, Lionel",1963,0.0,1,2435.0,,,,,,,,
"Cappelletto, Joshuaede",2312,3.0,5,,,2435.0,,1862.0,2447.0,2149.0,2341.0,
"Caron, Damien",1979,0.0,1,2462.0,,,,,,,,
"Christodoulaki, Antonia",2111,3.0,6,,2370.0,,2301.0,2326.0,2373.0,2289.0,,2282.0
"Cots Valls, Jordi",1723,0.5,1,,1997.0,,,,,,,
"Cuartas, Jaime Alexander",2521,6.0,9,1997.0,2201.0,2232.0,2332.0,2249.0,2322.0,2300.0,2287.0,2326.0
"Czopor, Maciej",2423,6.5,9,1948.0,2154.0,2174.0,2274.0,2562.0,2636.0,2261.0,2326.0,2322.0
"De Lomas Busquets, Alba",1997,4.5,9,2521.0,1723.0,1733.0,1588.0,1844.0,2177.0,1891.0,2223.0,1768.0
"Diaz Reyes, Kyllian",2068,0.0,1,,,,2287.0,,,,,
"Domingo Nunez, Ruben",2435,6.0,9,1963.0,2171.0,2312.0,2562.0,2599.0,2261.0,2326.0,2322.0,2274.0
"Dvirnyy, Danyyil",2473,6.5,9,1988.0,2177.0,2301.0,2258.0,2382.0,2282.0,2352.0,2636.0,2578.0
"Ercoli, Andria",1966,0.0,1,2438.0,,,,,,,,
"Fava, Lorenzo",2316,2.5,6,,,2497.0,2114.0,2095.0,,1988.0,2433.0,2000.0
"Fiedorek, Michal",2322,4.5,8,,2088.0,2154.0,2599.0,2141.0,2521.0,2189.0,2435.0,2423.0
"Fiorito, Fabian",2274,3.0,6,,,2395.0,2423.0,,2441.0,2382.0,2352.0,2435.0
"Fiorito, Francisco",2433,6.5,9,1952.0,2149.0,2287.0,2462.0,2578.0,2223.0,2282.0,2316.0,2475.0
"Fiorito, Joaquin",2419,6.5,9,1947.0,2140.0,2261.0,2282.0,2258.0,2211.0,2322.0,2578.0,2438.0
"Garcia Martin, Marta",2329,6.0,9,1898.0,2093.0,2562.0,2171.0,2154.0,1988.0,2206.0,2282.0,2394.0
"Garcia Paolicchi, Raul",1995,0.0,1,2497.0,,,,,,,,
"Garcia Ramos, Daniel",2438,6.5,9,1966.0,2162.0,2290.0,2578.0,2636.0,2189.0,2497.0,2599.0,2419.0
"Gkoumas, Georgios",2441,5.5,8,1968.0,2174.0,2190.0,2326.0,2206.0,2274.0,2287.0,2286.0,
"Golub, Nikolina",1912,0.0,1,2352.0,,,,,,,,
"Gomez Anadon, Daniel",2171,1.0,5,,2435.0,,2329.0,2341.0,,,2332.0,2352.0
"Gowrishankar, Jayaraj",2092,0.5,4,,2326.0,2300.0,,,2370.0,2286.0,,
"Grove, Peter",2217,0.0,2,,2578.0,,,2475.0,,,,
"Guix Torres, David",2038,0.5,2,,,,2249.0,,,,,2300.0
"Hafstad, Leif",1968,0.0,1,2441.0,,,,,,,,
"Hammari, Vinjar",2088,0.5,3,,2322.0,2282.0,,,2352.0,,,
"Henriquez Villagra, Cristobal",2599,6.5,9,2011.0,2246.0,2341.0,2322.0,2435.0,2382.0,2462.0,2438.0,2332.0
"Hernandez, Cristian Andres",2373,5.5,9,1922.0,2102.0,2171.0,2162.0,2223.0,2111.0,2636.0,2258.0,2261.0
"Hristodorescu, Daniel",2121,0.0,1,,2382.0,,,,,,,
"Hurtado Oldridge, Felipe",1891,0.0,1,,,,,,,1997.0,,
"Jagreet, Misra",1988,0.5,3,2473.0,,,,,2329.0,2316.0,,
"Jimenez Fernandez, Rebeca",2154,0.5,5,,2423.0,2322.0,,2329.0,,,2382.0,2301.0
"Karp, Ilya",2370,6.5,9,1916.0,2111.0,2636.0,2261.0,2177.0,2092.0,2475.0,2246.0,2171.0
"Klein, Gernot",1952,0.0,1,2433.0,,,,,,,,
"Kogan, Arthur",2475,6.5,9,1988.0,2190.0,2206.0,2201.0,2217.0,2322.0,2370.0,2497.0,2433.0
"Krithik, Muthukumar",1900,0.5,1,2332.0,,,,,,,,
"Le Montagner, Yoann",2030,0.0,1,,,2326.0,,,,,,
"Lohia, Sohum",2382,6.5,9,1929.0,2121.0,2259.0,2497.0,2473.0,2599.0,2274.0,2154.0,2183.0
"Lopez Martinez, Josep Manuel",2462,6.5,9,1979.0,2183.0,2322.0,2433.0,2261.0,2258.0,2599.0,2562.0,2497.0
"Luke Brezmes, Cristofer",2093,0.0,2,,2329.0,,,,,,2289.0,
"Lund, Gunnar",2322,3.0,6,,,2462.0,2140.0,,2475.0,2419.0,2141.0,2114.0
"Luque Saiz, Andres",2352,4.0,8,1912.0,,2578.0,2149.0,2174.0,2088.0,2473.0,2274.0,2171.0
"Mallar, Arya G",2000,0.5,1,,,,,,,,2290.0,
"Marrero Rodriguez, Jorge",2259,0.0,1,,,2382.0,,,,,,
"Meessen, Rudolf",2206,1.5,5,,,2475.0,,2441.0,2341.0,2329.0,,2447.0
"Michaelides, Konstantinos",2286,1.0,2,,,,,,,2092.0,2441.0,
"Midoux, Sebastien",2190,0.5,4,,2475.0,2441.0,,2447.0,,,,2341.0
"Millan Hernandez, Marc",1912,0.0,1,2341.0,,,,,,,,
"Montoliu Montes, Joaquim",1588,0.0,1,,,,1997.0,,,,,
"Moral Garcia, Serafin",2258,2.5,6,,,2394.0,2473.0,2419.0,2462.0,2395.0,2373.0,
"Nielsen, Andre",2287,3.5,7,,,2433.0,2068.0,2027.0,2562.0,2441.0,2521.0,2149.0
"Ostensen, Nicolai Maxime",2326,6.0,9,1896.0,2092.0,2030.0,2441.0,2111.0,1862.0,2435.0,2423.0,2521.0
"Oudeh Mishmesh, Omar",2290,2.5,5,,,2438.0,2095.0,,,2447.0,2000.0,2141.0
"Paczka, Patryk",1898,0.0,1,2329.0,,,,,,,,
"Palomo Teruel, Xavier",2162,0.0,2,,2438.0,,2373.0,,,,,
"Picart, Laurent",2018,0.0,1,2636.0,,,,,,,,
"Posocco De Grandi, Marc",1768,0.0,1,,,,,,,,,1997.0
"Pujol Zoilo, Eudald",1733,1.0,1,,,1997.0,,,,,,
"Raggini, Lionel",2011,0.0,1,2599.0,,,,,,,,
"Rempe, Jonas",2095,2.0,5,,2341.0,,2290.0,2316.0,2301.0,,2211.0,
"Ribera Caro, Joan",1922,0.0,1,2373.0,,,,,,,,
"Ribera Veganzones, Josep Maria",2141,1.5,5,,2395.0,,,2322.0,,2301.0,2322.0,2290.0
"Roca Planas, Edgar",2246,0.5,4,,2599.0,,2027.0,,,2394.0,2370.0,
"Rodriguez Redondo, Adhara",2183,1.0,3,,2462.0,,,,,,2395.0,2382.0
"Romero Calduch, Sergio",2289,1.5,3,,,,,,,2111.0,2093.0,2201.0
"Ruiz Bolanos, Eithan",1862,0.5,2,,,,,2312.0,2326.0,,,
"Ruperez, Miguel",2149,1.0,5,,2433.0,,2352.0,2300.0,,2312.0,,2287.0
"Sason, Noam",2189,1.0,4,,2497.0,,,2332.0,2438.0,2322.0,,
"Schoorl, Rob",2300,3.5,7,,,2092.0,2395.0,2149.0,2081.0,2521.0,2171.0,2038.0
"Serra Pages, Jordi",2177,1.0,4,,2473.0,,,2370.0,1997.0,,2394.0,
"Serrahima Susany, Ramon",2114,0.5,4,,2394.0,,2316.0,,2332.0,,,2322.0
"Shimanov, Aleksandr",2578,6.5,9,2003.0,2217.0,2352.0,2438.0,2433.0,2497.0,2562.0,2419.0,2473.0
"Skaar, Ben Samuel Groth",2174,0.5,4,,2441.0,2423.0,,2352.0,,,,2395.0
"Smeets, Kobe",2341,6.0,9,1912.0,2095.0,2599.0,2636.0,2171.0,2206.0,2249.0,2312.0,2190.0
"Suarez Uriel, Adrian",2394,6.5,9,1929.0,2114.0,2258.0,2171.0,2282.0,2140.0,2246.0,2177.0,2329.0
"Suarez, Sebastian",2201,2.5,4,,2521.0,2447.0,2475.0,,,,,2289.0
"Sumets, Andrey",2497,6.5,9,1995.0,2189.0,2316.0,2382.0,2395.0,2578.0,2438.0,2475.0,2462.0
"Swayham, P Das",2003,0.0,1,2578.0,,,,,,,,
"Tari, Aryan",2636,7.0,9,2018.0,2249.0,2370.0,2341.0,2438.0,2423.0,2373.0,2473.0,2562.0
"Toulzac, Pierre-Yves",2102,0.5,2,,2373.0,2332.0,,,,,,
"Tryggestad, Andreas Garberg",2332,4.5,8,1900.0,,2102.0,2521.0,2189.0,2114.0,2171.0,2171.0,2599.0
"Valle Luis, Leo",2301,1.5,5,,,2473.0,2111.0,,2095.0,2141.0,,2154.0
"Valle Luis, Liam",1948,0.0,1,2423.0,,,,,,,,
"Vestby-Ellingsen, Mads",2395,5.5,9,1932.0,2141.0,2274.0,2300.0,2497.0,2249.0,2258.0,2183.0,2174.0
"Villa Izquierdo, Roberto",1929,0.0,1,2382.0,,,,,,,,
"Villa Tornero, Alex",2282,3.5,7,,,2088.0,2419.0,2394.0,2473.0,2433.0,2329.0,2111.0
"Vinolas Anglada, Laura",2081,0.0,1,,,,,,2300.0,,,
"Volkov, Dmitriy",2211,0.5,3,,2562.0,,,,2419.0,,2095.0,
"Wu, Derek",2232,0.0,1,,,2521.0,,,,,,
"Yao, Lan",2261,4.5,7,,,2419.0,2370.0,2462.0,2435.0,2423.0,2447.0,2373.0
"Zamora Beamud, Andres",1947,0.0,1,2419.0,,,,,,,,
